track,optimizer,perturbation_type,severity,seed,epochs,hidden_channels,dropout,learning_rate,weight_decay,test_accuracy,macro_f1,final_loss,training_time_seconds
ossama,Adam,clean,0.0,42,200,16,0.5,0.01,0.0005,0.799,0.7897144594203988,0.3158669471740722,12.050887280998722
ossama,AdamW,clean,0.0,42,200,16,0.5,0.01,0.0005,0.799,0.7895294822788562,0.0576887056231498,21.08103750599912
ossama,RMSProp,clean,0.0,42,200,16,0.5,0.01,0.0005,0.795,0.7866196233392716,0.3812738955020904,41.65851694599769
ossama,AdaGrad,clean,0.0,42,200,16,0.5,0.01,0.0005,0.719,0.719022963648506,1.41116464138031,24.489561049998883
ossama,SGD,clean,0.0,42,200,16,0.5,0.01,0.0005,0.148,0.0563386112925633,1.9439762830734253,19.418733022997912
ossama,Adam,feature_noise,0.05,42,200,16,0.5,0.01,0.0005,0.578,0.573906475263045,0.056294459849596,21.52104147600039
ossama,Adam,feature_noise,0.1,42,200,16,0.5,0.01,0.0005,0.55,0.5478822092622498,0.0277805235236883,25.705222176999087
ossama,Adam,feature_noise,0.2,42,200,16,0.5,0.01,0.0005,0.521,0.5167003372982597,0.0150906136259436,23.13879446699866
ossama,Adam,feature_noise,0.3,42,200,16,0.5,0.01,0.0005,0.524,0.5213961310322806,0.0114193111658096,24.433579724998708
ossama,AdamW,feature_noise,0.05,42,200,16,0.5,0.01,0.0005,0.557,0.5527235790496393,0.0102806836366653,34.736861669000064
ossama,AdamW,feature_noise,0.1,42,200,16,0.5,0.01,0.0005,0.524,0.5215845906230712,0.0057069649919867,20.97215054700064
ossama,AdamW,feature_noise,0.2,42,200,16,0.5,0.01,0.0005,0.518,0.5137271634997705,0.017288003116846,16.13670658999763
ossama,AdamW,feature_noise,0.3,42,200,16,0.5,0.01,0.0005,0.517,0.5163137267593505,0.0203518643975257,44.44929808300003
ossama,RMSProp,feature_noise,0.05,42,200,16,0.5,0.01,0.0005,0.579,0.5784355921049226,0.0411217287182807,21.726767271000423
ossama,RMSProp,feature_noise,0.1,42,200,16,0.5,0.01,0.0005,0.539,0.5413151633612626,0.0226612649857997,43.44252336600039
ossama,RMSProp,feature_noise,0.2,42,200,16,0.5,0.01,0.0005,0.522,0.520125991845426,0.0145071521401405,16.642525625000417
ossama,RMSProp,feature_noise,0.3,42,200,16,0.5,0.01,0.0005,0.516,0.5157218479724336,0.010938006453216,18.41348867999841
ossama,AdaGrad,feature_noise,0.05,42,200,16,0.5,0.01,0.0005,0.55,0.54239739646744,0.4307385683059692,17.5974444459971
ossama,AdaGrad,feature_noise,0.1,42,200,16,0.5,0.01,0.0005,0.526,0.5209171361959264,0.2255904078483581,23.21300288299972
ossama,AdaGrad,feature_noise,0.2,42,200,16,0.5,0.01,0.0005,0.526,0.5210743669653354,0.116679735481739,12.362416342999497
ossama,AdaGrad,feature_noise,0.3,42,200,16,0.5,0.01,0.0005,0.533,0.5290773033715472,0.0840259715914726,11.217835376999574
ossama,SGD,feature_noise,0.05,42,200,16,0.5,0.01,0.0005,0.165,0.0817980316448927,1.9382145404815676,19.96640089599896
ossama,SGD,feature_noise,0.1,42,200,16,0.5,0.01,0.0005,0.168,0.102588797950959,1.9245141744613647,16.50273348200062
ossama,SGD,feature_noise,0.2,42,200,16,0.5,0.01,0.0005,0.189,0.1373927034565819,1.875178933143616,12.316863068001112
ossama,SGD,feature_noise,0.3,42,200,16,0.5,0.01,0.0005,0.198,0.1477673967530017,1.8006526231765747,30.44254130500121
teammate,Adam,edge_removal,0.05,42,200,16,0.5,0.01,0.0005,0.793,0.7839494732969795,0.2957172393798828,19.23584486800246
teammate,AdamW,edge_removal,0.05,42,200,16,0.5,0.01,0.0005,0.797,0.788624640639622,0.0569019243121147,27.72363754500111
teammate,RMSProp,edge_removal,0.05,42,200,16,0.5,0.01,0.0005,0.793,0.7859621541042836,0.3934417366981506,35.6679108190001
teammate,AdaGrad,edge_removal,0.05,42,200,16,0.5,0.01,0.0005,0.719,0.716191599759742,1.4074255228042605,29.517507990000013
teammate,SGD,edge_removal,0.05,42,200,16,0.5,0.01,0.0005,0.146,0.0540184966136124,1.9439318180084229,52.77637544699974
teammate,Adam,edge_removal,0.1,42,200,16,0.5,0.01,0.0005,0.796,0.7892320439251705,0.2986287474632263,22.68640470100217
teammate,AdamW,edge_removal,0.1,42,200,16,0.5,0.01,0.0005,0.792,0.7843327943489503,0.0590649135410785,20.899415055006106
teammate,RMSProp,edge_removal,0.1,42,200,16,0.5,0.01,0.0005,0.789,0.7814442191934915,0.4071546494960785,19.97808069799794
teammate,AdaGrad,edge_removal,0.1,42,200,16,0.5,0.01,0.0005,0.723,0.7231779239282148,1.403181552886963,20.547467502998188
teammate,SGD,edge_removal,0.1,42,200,16,0.5,0.01,0.0005,0.14,0.0542673499873721,1.9442890882492063,58.65903816399805
teammate,Adam,edge_removal,0.2,42,200,16,0.5,0.01,0.0005,0.779,0.7741451313806218,0.2897095382213592,71.48776870500296
teammate,AdamW,edge_removal,0.2,42,200,16,0.5,0.01,0.0005,0.779,0.7660602391733776,0.0563131533563137,226.77503866700133
teammate,RMSProp,edge_removal,0.2,42,200,16,0.5,0.01,0.0005,0.788,0.7742937195544374,0.3328696489334106,116.00841701999887
teammate,AdaGrad,edge_removal,0.2,42,200,16,0.5,0.01,0.0005,0.703,0.7013772220605485,1.3859564065933228,33.154683678003494
teammate,SGD,edge_removal,0.2,42,200,16,0.5,0.01,0.0005,0.134,0.0470272416701398,1.943803787231445,64.0447963810002
teammate,Adam,edge_removal,0.3,42,200,16,0.5,0.01,0.0005,0.765,0.7567415900651788,0.2937215566635132,81.1347739289995
teammate,AdamW,edge_removal,0.3,42,200,16,0.5,0.01,0.0005,0.757,0.7456427700630271,0.0631900578737258,68.91233509699669
teammate,RMSProp,edge_removal,0.3,42,200,16,0.5,0.01,0.0005,0.755,0.7500940501510506,0.2834017872810364,43.8906359850007
teammate,AdaGrad,edge_removal,0.3,42,200,16,0.5,0.01,0.0005,0.709,0.7011062152705522,1.383555889129639,17.272487237998575
teammate,SGD,edge_removal,0.3,42,200,16,0.5,0.01,0.0005,0.145,0.0607926134145198,1.9445308446884155,23.32412809500238
teammate,Adam,fake_edge_addition,0.05,42,200,16,0.5,0.01,0.0005,0.787,0.778702357973272,0.3528885543346405,51.726043859998754
teammate,AdamW,fake_edge_addition,0.05,42,200,16,0.5,0.01,0.0005,0.771,0.7647513616140971,0.0605162195861339,27.014771554000617
teammate,RMSProp,fake_edge_addition,0.05,42,200,16,0.5,0.01,0.0005,0.776,0.772192392442988,0.4329848885536194,37.64733281599911
teammate,AdaGrad,fake_edge_addition,0.05,42,200,16,0.5,0.01,0.0005,0.709,0.7127046677035446,1.4549163579940796,27.74598775699997
teammate,SGD,fake_edge_addition,0.05,42,200,16,0.5,0.01,0.0005,0.217,0.0816548591969158,1.9442583322525024,17.594734429003438
teammate,Adam,fake_edge_addition,0.1,42,200,16,0.5,0.01,0.0005,0.773,0.7663696163149772,0.3846162557601928,33.89271590899443
teammate,AdamW,fake_edge_addition,0.1,42,200,16,0.5,0.01,0.0005,0.752,0.7451736966969673,0.0674128010869026,19.85758927399729
teammate,RMSProp,fake_edge_addition,0.1,42,200,16,0.5,0.01,0.0005,0.768,0.7618379634162291,0.579929530620575,41.04095121400314
teammate,AdaGrad,fake_edge_addition,0.1,42,200,16,0.5,0.01,0.0005,0.676,0.6823248734082894,1.4933011531829834,21.813385361005203
teammate,SGD,fake_edge_addition,0.1,42,200,16,0.5,0.01,0.0005,0.21,0.0792981412639405,1.9442182779312132,197.12948134999897
