dataset,protocol,robustness_setting,optimizer,perturbation_type,requested_severity,n_seeds,mean_test_accuracy,std_test_accuracy,ci95_test_accuracy_half_width,mean_macro_f1,std_macro_f1,ci95_macro_f1_half_width,clean_to_perturbed_accuracy_drop,robustness_score_auc
CiteSeer,fixed,training_time,AdaGrad,clean,0.0,5,0.6878,0.016814,0.014738,0.649106,0.016016,0.014039,0.0,0.6878
CiteSeer,fixed,training_time,AdaGrad,edge_removal,0.2,5,0.6666,0.016319,0.014304,0.631392,0.016397,0.014373,0.0212,0.6666
CiteSeer,fixed,training_time,AdaGrad,fake_edge_addition,0.2,5,0.6394,0.025422,0.022284,0.605056,0.024226,0.021235,0.0484,0.6394
CiteSeer,fixed,training_time,AdaGrad,feature_masking,0.2,5,0.6508,0.017936,0.015722,0.617596,0.020521,0.017987,0.037,0.6508
CiteSeer,fixed,training_time,Adam,clean,0.0,5,0.7082,0.006058,0.00531,0.680096,0.006379,0.005591,0.0,0.7082
CiteSeer,fixed,training_time,Adam,edge_removal,0.2,5,0.6884,0.003435,0.003011,0.658365,0.004263,0.003737,0.0198,0.6884
CiteSeer,fixed,training_time,Adam,fake_edge_addition,0.2,5,0.678,0.006964,0.006104,0.647912,0.00722,0.006329,0.0302,0.678
CiteSeer,fixed,training_time,Adam,feature_masking,0.2,5,0.6922,0.00719,0.006303,0.661566,0.007209,0.006319,0.016,0.6922
CiteSeer,fixed,training_time,AdamW,clean,0.0,5,0.6508,0.021206,0.018588,0.621965,0.019128,0.016766,0.0,0.6508
CiteSeer,fixed,training_time,AdamW,edge_removal,0.2,5,0.5806,0.035739,0.031327,0.565367,0.025288,0.022166,0.0702,0.5806
CiteSeer,fixed,training_time,AdamW,fake_edge_addition,0.2,5,0.5936,0.005771,0.005058,0.568462,0.008111,0.007109,0.0572,0.5936
CiteSeer,fixed,training_time,AdamW,feature_masking,0.2,5,0.615,0.019761,0.017321,0.591078,0.013706,0.012014,0.0358,0.615
