optimizer,epoch,n_seeds,mean_gradient_l2_norm,std_gradient_l2_norm,mean_train_loss,mean_validation_loss,mean_validation_accuracy
AdaGrad,1,10,0.061988,0.010871,1.945646,1.942793,0.2424
AdaGrad,2,10,0.060588,0.010528,1.939857,1.939329,0.3688
AdaGrad,3,10,0.139381,0.030061,1.933512,1.935957,0.3768
AdaGrad,4,10,0.083218,0.02403,1.925949,1.932069,0.5334
AdaGrad,5,10,0.079605,0.016372,1.918639,1.929345,0.5602
AdaGrad,6,10,0.08752,0.019064,1.9125,1.925731,0.6242
AdaGrad,7,10,0.077557,0.016041,1.907132,1.923018,0.646
AdaGrad,8,10,0.083869,0.025873,1.901477,1.919509,0.6696
AdaGrad,9,10,0.077907,0.008988,1.89691,1.917734,0.6782
AdaGrad,10,10,0.073554,0.012266,1.890858,1.915051,0.6822
AdaGrad,11,10,0.071782,0.008232,1.88643,1.912609,0.695
AdaGrad,12,10,0.074732,0.011064,1.882523,1.909879,0.7064
AdaGrad,13,10,0.077903,0.015133,1.876861,1.907509,0.701
AdaGrad,14,10,0.082099,0.018037,1.871561,1.905642,0.695
AdaGrad,15,10,0.074956,0.009559,1.868128,1.903268,0.7044
AdaGrad,16,10,0.080748,0.011223,1.86205,1.900979,0.7092
AdaGrad,17,10,0.074936,0.009716,1.859836,1.898413,0.7126
AdaGrad,18,10,0.074643,0.012764,1.855722,1.896466,0.7132
AdaGrad,19,10,0.080278,0.013177,1.850839,1.894469,0.7102
AdaGrad,20,10,0.082326,0.008945,1.846541,1.892247,0.7176
AdaGrad,21,10,0.077466,0.007948,1.843871,1.890009,0.7192
AdaGrad,22,10,0.078744,0.014813,1.839771,1.888078,0.7246
AdaGrad,23,10,0.076928,0.00886,1.836106,1.886302,0.7256
AdaGrad,24,10,0.08412,0.008048,1.830702,1.88413,0.7228
AdaGrad,25,10,0.083702,0.019127,1.826375,1.882389,0.7202
AdaGrad,26,10,0.079325,0.009074,1.824286,1.88017,0.7216
AdaGrad,27,10,0.086602,0.014962,1.823377,1.878687,0.7242
AdaGrad,28,10,0.084525,0.008942,1.817668,1.87667,0.723
AdaGrad,29,10,0.086455,0.015638,1.814644,1.874903,0.7232
AdaGrad,30,10,0.085294,0.01224,1.810469,1.872882,0.7236
AdaGrad,31,10,0.08506,0.010636,1.805537,1.871236,0.7198
AdaGrad,32,10,0.089316,0.015184,1.801894,1.869319,0.7188
AdaGrad,33,10,0.085064,0.010059,1.800006,1.867502,0.7246
AdaGrad,34,10,0.083897,0.010983,1.796212,1.865531,0.7254
AdaGrad,35,10,0.08819,0.010761,1.791975,1.863783,0.7268
AdaGrad,36,10,0.089696,0.010737,1.786843,1.862018,0.7246
AdaGrad,37,10,0.092525,0.009077,1.78609,1.860442,0.7266
AdaGrad,38,10,0.089166,0.008517,1.782965,1.858519,0.7304
AdaGrad,39,10,0.090803,0.014749,1.781649,1.856993,0.73
AdaGrad,40,10,0.090332,0.015306,1.774717,1.854949,0.7304
AdaGrad,41,10,0.084041,0.007941,1.77249,1.85356,0.7286
AdaGrad,42,10,0.093719,0.006192,1.769046,1.851992,0.7286
AdaGrad,43,10,0.094553,0.015457,1.765455,1.850496,0.726
AdaGrad,44,10,0.089242,0.00987,1.763461,1.848572,0.733
AdaGrad,45,10,0.094498,0.008582,1.760152,1.846453,0.7352
AdaGrad,46,10,0.087723,0.012056,1.758427,1.845032,0.736
AdaGrad,47,10,0.088244,0.010813,1.755282,1.843512,0.7344
AdaGrad,48,10,0.091732,0.007891,1.75314,1.84164,0.7366
AdaGrad,49,10,0.094457,0.011464,1.74971,1.840299,0.7328
AdaGrad,50,10,0.09052,0.013613,1.745865,1.838647,0.7366
AdaGrad,51,10,0.094792,0.005991,1.741891,1.83711,0.7368
AdaGrad,52,10,0.09663,0.012423,1.737384,1.835448,0.7328
AdaGrad,53,10,0.093417,0.009302,1.739161,1.833769,0.7372
AdaGrad,54,10,0.096928,0.007664,1.73431,1.832074,0.7378
AdaGrad,55,10,0.10006,0.013968,1.730582,1.830387,0.7378
AdaGrad,56,10,0.097185,0.009803,1.729176,1.828868,0.7378
AdaGrad,57,10,0.100172,0.012475,1.725832,1.827073,0.7388
AdaGrad,58,10,0.094345,0.012109,1.72273,1.825783,0.7368
AdaGrad,59,10,0.097131,0.007314,1.71832,1.824335,0.7394
AdaGrad,60,10,0.090863,0.013582,1.719212,1.822757,0.7386
AdaGrad,61,10,0.095797,0.0112,1.714425,1.821339,0.7386
AdaGrad,62,10,0.103659,0.009883,1.708816,1.819867,0.7378
AdaGrad,63,10,0.099367,0.011276,1.709529,1.818078,0.7408
AdaGrad,64,10,0.101199,0.014338,1.704228,1.816633,0.7432
AdaGrad,65,10,0.103647,0.012926,1.700727,1.815042,0.7424
AdaGrad,66,10,0.09805,0.007114,1.701229,1.813881,0.7402
AdaGrad,67,10,0.100827,0.015292,1.698512,1.812282,0.7434
AdaGrad,68,10,0.100584,0.013335,1.695058,1.810751,0.744
AdaGrad,69,10,0.101218,0.006038,1.693724,1.809331,0.742
AdaGrad,70,10,0.098878,0.013524,1.692313,1.807808,0.7454
AdaGrad,71,10,0.104589,0.008791,1.686031,1.806684,0.7458
AdaGrad,72,10,0.103563,0.010881,1.680082,1.805302,0.7444
AdaGrad,73,10,0.104041,0.008534,1.682618,1.803838,0.7442
AdaGrad,74,10,0.101705,0.009294,1.678412,1.802397,0.7432
AdaGrad,75,10,0.1,0.008651,1.67687,1.800971,0.7424
AdaGrad,76,10,0.102021,0.009794,1.67281,1.799426,0.7448
AdaGrad,77,10,0.100245,0.006018,1.672212,1.797969,0.7438
AdaGrad,78,10,0.101961,0.017463,1.665781,1.796416,0.7446
AdaGrad,79,10,0.104288,0.006446,1.665041,1.794875,0.7458
AdaGrad,80,10,0.095876,0.007546,1.660666,1.793626,0.7452
AdaGrad,81,10,0.111402,0.014096,1.657814,1.792153,0.7458
AdaGrad,82,10,0.104531,0.010585,1.659558,1.790521,0.749
AdaGrad,83,10,0.104836,0.013479,1.655717,1.789513,0.7466
AdaGrad,84,10,0.107647,0.006624,1.651857,1.788109,0.7466
AdaGrad,85,10,0.098108,0.013278,1.650182,1.786728,0.7468
AdaGrad,86,10,0.106984,0.013502,1.645794,1.7851,0.7486
AdaGrad,87,10,0.100196,0.008251,1.643545,1.783748,0.748
AdaGrad,88,10,0.100787,0.012066,1.642919,1.782007,0.75
AdaGrad,89,10,0.099406,0.00791,1.64081,1.780808,0.7496
AdaGrad,90,10,0.106118,0.010712,1.635372,1.77971,0.7474
AdaGrad,91,10,0.107985,0.011806,1.636163,1.778339,0.7494
AdaGrad,92,10,0.104852,0.007989,1.634945,1.777044,0.7496
AdaGrad,93,10,0.103612,0.008758,1.632144,1.775965,0.7478
AdaGrad,94,10,0.104798,0.014909,1.624153,1.774621,0.7474
AdaGrad,95,10,0.106915,0.009542,1.628016,1.773339,0.748
AdaGrad,96,10,0.107256,0.005833,1.62463,1.771899,0.7484
AdaGrad,97,10,0.110801,0.010538,1.623274,1.770667,0.749
AdaGrad,98,10,0.108497,0.01077,1.61912,1.769321,0.7498
AdaGrad,99,10,0.110323,0.011429,1.615182,1.767822,0.7506
AdaGrad,100,10,0.111518,0.010266,1.609286,1.766387,0.7502
AdaGrad,101,10,0.103856,0.008311,1.61073,1.76504,0.7512
AdaGrad,102,10,0.108899,0.013768,1.610535,1.763778,0.7502
AdaGrad,103,10,0.105599,0.011647,1.607494,1.762848,0.7498
AdaGrad,104,10,0.109482,0.012437,1.607412,1.761449,0.7504
AdaGrad,105,10,0.110252,0.009249,1.601404,1.760165,0.75
AdaGrad,106,10,0.109883,0.011138,1.596485,1.758699,0.75
AdaGrad,107,10,0.108718,0.01257,1.596134,1.757519,0.751
AdaGrad,108,10,0.100955,0.009676,1.599041,1.75624,0.7504
AdaGrad,109,10,0.106237,0.010331,1.590773,1.754781,0.7514
AdaGrad,110,10,0.106475,0.011407,1.593568,1.753386,0.7532
AdaGrad,111,10,0.109231,0.008629,1.582714,1.75219,0.7508
AdaGrad,112,10,0.120405,0.011061,1.579005,1.750817,0.7528
AdaGrad,113,10,0.110832,0.009474,1.58259,1.749248,0.7546
AdaGrad,114,10,0.108723,0.008914,1.581231,1.748024,0.7536
AdaGrad,115,10,0.108049,0.00766,1.579235,1.747042,0.7522
AdaGrad,116,10,0.117608,0.011422,1.575177,1.745735,0.7512
AdaGrad,117,10,0.112802,0.008167,1.575305,1.744697,0.7514
AdaGrad,118,10,0.102757,0.009835,1.573484,1.743339,0.7524
AdaGrad,119,10,0.106288,0.008203,1.570785,1.742152,0.7528
AdaGrad,120,10,0.113822,0.01236,1.567614,1.740911,0.7518
AdaGrad,121,10,0.108325,0.013139,1.564838,1.739756,0.7512
AdaGrad,122,10,0.114652,0.011741,1.559414,1.738367,0.7526
AdaGrad,123,10,0.109323,0.010666,1.558075,1.737337,0.753
AdaGrad,124,10,0.109406,0.007616,1.557876,1.736213,0.7532
AdaGrad,125,10,0.110708,0.013171,1.556536,1.734966,0.7526
