experiment_id,git_commit,timestamp,dataset,protocol,robustness_setting,optimizer,seed,resolved_seed,hyperparameter_config,train_accuracy,validation_accuracy,test_accuracy,macro_f1,loss,training_time_seconds,best_validation_epoch,final_epoch,final_gradient_l2_norm,mean_gradient_l2_norm,peak_rss_mb,cpu_memory_delta_mb,gpu_peak_memory_mb,memory_device,hardware_metadata_path
final_fixed_cora_clean_diagnostics,c6cbaeb,2026-07-05T23:52:26.413625+00:00,Cora,fixed,clean_training_diagnostics,Adam,42,1712320631,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",0.9928571428571429,0.79,0.796,0.7844027352346646,0.36002326011657715,27.477064370992593,127,200,0.11416857118009105,0.12782307894687872,314.15234375,0.0,0.0,cpu,results/final/diagnostics/metadata/environment.json
final_fixed_cora_clean_diagnostics,c6cbaeb,2026-07-05T23:52:54.600737+00:00,Cora,fixed,clean_training_diagnostics,AdamW,42,44869718,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",1.0,0.768,0.781,0.7762490089708454,0.06062285602092743,29.586291834973963,85,200,0.037512455077685615,0.08247871060103432,320.140625,0.0,0.0,cpu,results/final/diagnostics/metadata/environment.json
final_fixed_cora_clean_diagnostics,c6cbaeb,2026-07-05T23:53:24.780509+00:00,Cora,fixed,clean_training_diagnostics,RMSProp,42,1226071601,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",0.9928571428571429,0.802,0.812,0.8040961055851356,0.34775421023368835,32.7511731510167,71,200,0.25457942962839364,0.18911716104807774,320.21875,0.0,0.0,cpu,results/final/diagnostics/metadata/environment.json
final_fixed_cora_clean_diagnostics,c6cbaeb,2026-07-05T23:53:58.259645+00:00,Cora,fixed,clean_training_diagnostics,AdaGrad,42,2102641980,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",0.9642857142857143,0.774,0.803,0.7876769967026206,1.4049875736236572,25.819068169017555,137,200,0.11360068171114827,0.1045885742556601,320.5625,0.0,0.0,cpu,results/final/diagnostics/metadata/environment.json
final_fixed_cora_clean_diagnostics,c6cbaeb,2026-07-05T23:54:24.632538+00:00,Cora,fixed,clean_training_diagnostics,SGD,42,199040047,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",0.15,0.176,0.172,0.10750284597538425,1.9445369243621826,22.201248191995546,115,200,0.040677044715352544,0.03684366074865736,320.6640625,0.0,0.0,cpu,results/final/diagnostics/metadata/environment.json
final_fixed_cora_clean_diagnostics,c6cbaeb,2026-07-05T23:54:47.300847+00:00,Cora,fixed,clean_training_diagnostics,Adam,43,992922853,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",1.0,0.796,0.807,0.7989857202290626,0.35433757305145264,34.50439401998301,199,200,0.23076868865008812,0.12524301147579853,321.05078125,0.0,0.0,cpu,results/final/diagnostics/metadata/environment.json
final_fixed_cora_clean_diagnostics,c6cbaeb,2026-07-05T23:55:22.406497+00:00,Cora,fixed,clean_training_diagnostics,AdamW,43,1248278353,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",1.0,0.774,0.798,0.7908687450242619,0.06801772862672806,30.438018745015142,93,200,0.04225827788494387,0.08252373434519523,320.68359375,0.0,0.0,cpu,results/final/diagnostics/metadata/environment.json
final_fixed_cora_clean_diagnostics,c6cbaeb,2026-07-05T23:55:53.567355+00:00,Cora,fixed,clean_training_diagnostics,RMSProp,43,1041416772,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",1.0,0.794,0.803,0.7952764825537815,0.42228052020072937,26.585537537001073,56,200,0.3431000942226302,0.1888081607193186,320.8203125,0.0,0.0,cpu,results/final/diagnostics/metadata/environment.json
final_fixed_cora_clean_diagnostics,c6cbaeb,2026-07-05T23:56:20.755347+00:00,Cora,fixed,clean_training_diagnostics,AdaGrad,43,509596344,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",0.9928571428571429,0.75,0.78,0.76724265889806,1.4030874967575073,36.576090910006315,160,200,0.14652372484029105,0.10514975707818262,321.21484375,0.0,0.0,cpu,results/final/diagnostics/metadata/environment.json
final_fixed_cora_clean_diagnostics,c6cbaeb,2026-07-05T23:56:57.964533+00:00,Cora,fixed,clean_training_diagnostics,SGD,43,829023243,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",0.20714285714285716,0.166,0.139,0.07308793243214103,1.9447625875473022,25.9917926590133,130,200,0.053850871892648616,0.046552082546207164,321.3515625,0.0,0.0,cpu,results/final/diagnostics/metadata/environment.json
final_fixed_cora_clean_diagnostics,c6cbaeb,2026-07-05T23:57:24.500707+00:00,Cora,fixed,clean_training_diagnostics,Adam,44,795518554,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",1.0,0.79,0.8,0.7928562688706956,0.29437798261642456,25.288196945999516,95,200,0.1673883808366629,0.12708837323373667,321.765625,0.0,0.0,cpu,results/final/diagnostics/metadata/environment.json
final_fixed_cora_clean_diagnostics,c6cbaeb,2026-07-05T23:57:50.348379+00:00,Cora,fixed,clean_training_diagnostics,AdamW,44,598071999,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",1.0,0.78,0.796,0.7907268544962068,0.05889251455664635,25.97470994401374,67,200,0.03109219295731062,0.07923503014075423,321.3984375,0.0,0.0,cpu,results/final/diagnostics/metadata/environment.json
final_fixed_cora_clean_diagnostics,c6cbaeb,2026-07-05T23:58:17.272599+00:00,Cora,fixed,clean_training_diagnostics,RMSProp,44,833855241,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",1.0,0.786,0.8,0.7875144281137361,0.3350241482257843,27.17099814899848,88,200,0.15437257887947659,0.18684050908013405,321.54296875,0.0,0.0,cpu,results/final/diagnostics/metadata/environment.json
final_fixed_cora_clean_diagnostics,c6cbaeb,2026-07-05T23:58:44.861674+00:00,Cora,fixed,clean_training_diagnostics,AdaGrad,44,1588004108,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",0.9642857142857143,0.768,0.78,0.7702127059700017,1.4198994636535645,22.23549068797729,195,200,0.1196804105896375,0.1062310586563689,321.93359375,0.0,0.0,cpu,results/final/diagnostics/metadata/environment.json
final_fixed_cora_clean_diagnostics,c6cbaeb,2026-07-05T23:59:07.599394+00:00,Cora,fixed,clean_training_diagnostics,SGD,44,1744319630,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",0.15,0.078,0.09,0.06434535130105999,1.9448760747909546,16.704135216015857,1,200,0.04342350154866322,0.042489854554268486,322.078125,0.0,0.0,cpu,results/final/diagnostics/metadata/environment.json
final_fixed_cora_clean_diagnostics,c6cbaeb,2026-07-05T23:59:24.861317+00:00,Cora,fixed,clean_training_diagnostics,Adam,45,1227152684,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.01, ""momentum"": 0.0, ""weight_decay"": 0.0005}",1.0,0.792,0.809,0.8005051864867532,0.3244616687297821,33.419700779020786,124,200,0.12467204993677661,0.12634502909261364,322.47265625,0.0,0.0,cpu,results/final/diagnostics/metadata/environment.json
