track,optimizer,perturbation_type,severity,seed,epochs,hidden_channels,dropout,learning_rate,weight_decay,test_accuracy,macro_f1,final_loss,training_time_seconds
baseline,Adam,feature_noise,0.05,42,200,16,0.5,0.01,0.0005,0.578,0.573906475263045,0.056294459849596024,21.52104147600039
baseline,Adam,feature_noise,0.1,42,200,16,0.5,0.01,0.0005,0.55,0.5478822092622498,0.027780523523688316,25.705222176999087
baseline,Adam,feature_noise,0.2,42,200,16,0.5,0.01,0.0005,0.521,0.5167003372982597,0.01509061362594366,23.13879446699866
baseline,Adam,feature_noise,0.3,42,200,16,0.5,0.01,0.0005,0.524,0.5213961310322806,0.011419311165809631,24.433579724998708
baseline,AdamW,feature_noise,0.05,42,200,16,0.5,0.01,0.0005,0.557,0.5527235790496393,0.010280683636665344,34.736861669000064
baseline,AdamW,feature_noise,0.1,42,200,16,0.5,0.01,0.0005,0.524,0.5215845906230712,0.0057069649919867516,20.972150547000638
baseline,AdamW,feature_noise,0.2,42,200,16,0.5,0.01,0.0005,0.518,0.5137271634997705,0.017288003116846085,16.13670658999763
baseline,AdamW,feature_noise,0.3,42,200,16,0.5,0.01,0.0005,0.517,0.5163137267593505,0.020351864397525787,44.44929808300003
baseline,RMSProp,feature_noise,0.05,42,200,16,0.5,0.01,0.0005,0.579,0.5784355921049226,0.04112172871828079,21.726767271000426
baseline,RMSProp,feature_noise,0.1,42,200,16,0.5,0.01,0.0005,0.539,0.5413151633612626,0.02266126498579979,43.44252336600039
baseline,RMSProp,feature_noise,0.2,42,200,16,0.5,0.01,0.0005,0.522,0.520125991845426,0.014507152140140533,16.642525625000417
baseline,RMSProp,feature_noise,0.3,42,200,16,0.5,0.01,0.0005,0.516,0.5157218479724336,0.010938006453216076,18.41348867999841
baseline,AdaGrad,feature_noise,0.05,42,200,16,0.5,0.01,0.0005,0.55,0.54239739646744,0.43073856830596924,17.5974444459971
baseline,AdaGrad,feature_noise,0.1,42,200,16,0.5,0.01,0.0005,0.526,0.5209171361959264,0.22559040784835815,23.213002882999717
baseline,AdaGrad,feature_noise,0.2,42,200,16,0.5,0.01,0.0005,0.526,0.5210743669653354,0.11667973548173904,12.362416342999495
baseline,AdaGrad,feature_noise,0.3,42,200,16,0.5,0.01,0.0005,0.533,0.5290773033715472,0.08402597159147263,11.217835376999574
baseline,SGD,feature_noise,0.05,42,200,16,0.5,0.01,0.0005,0.165,0.08179803164489272,1.9382145404815674,19.96640089599896
baseline,SGD,feature_noise,0.1,42,200,16,0.5,0.01,0.0005,0.168,0.10258879795095903,1.9245141744613647,16.50273348200062
baseline,SGD,feature_noise,0.2,42,200,16,0.5,0.01,0.0005,0.189,0.13739270345658197,1.8751789331436157,12.316863068001112
baseline,SGD,feature_noise,0.3,42,200,16,0.5,0.01,0.0005,0.198,0.14776739675300177,1.8006526231765747,30.442541305001214
