track,optimizer,perturbation_type,severity,seed,epochs,hidden_channels,dropout,learning_rate,weight_decay,test_accuracy,macro_f1,final_loss,training_time_seconds
teammate,Adam,fake_edge_addition,0.05,42,200,16,0.5,0.01,0.0005,0.787,0.778702357973272,0.3528885543346405,51.726043859998754
teammate,AdamW,fake_edge_addition,0.05,42,200,16,0.5,0.01,0.0005,0.771,0.7647513616140971,0.06051621958613396,27.014771554000617
teammate,RMSProp,fake_edge_addition,0.05,42,200,16,0.5,0.01,0.0005,0.776,0.772192392442988,0.4329848885536194,37.64733281599911
teammate,AdaGrad,fake_edge_addition,0.05,42,200,16,0.5,0.01,0.0005,0.709,0.7127046677035446,1.4549163579940796,27.745987756999966
teammate,SGD,fake_edge_addition,0.05,42,200,16,0.5,0.01,0.0005,0.217,0.0816548591969158,1.9442583322525024,17.594734429003438
teammate,Adam,fake_edge_addition,0.1,42,200,16,0.5,0.01,0.0005,0.773,0.7663696163149772,0.38461625576019287,33.89271590899443
teammate,AdamW,fake_edge_addition,0.1,42,200,16,0.5,0.01,0.0005,0.752,0.7451736966969673,0.06741280108690262,19.85758927399729
teammate,RMSProp,fake_edge_addition,0.1,42,200,16,0.5,0.01,0.0005,0.768,0.7618379634162291,0.579929530620575,41.040951214003144
teammate,AdaGrad,fake_edge_addition,0.1,42,200,16,0.5,0.01,0.0005,0.676,0.6823248734082894,1.4933011531829834,21.813385361005203
teammate,SGD,fake_edge_addition,0.1,42,200,16,0.5,0.01,0.0005,0.21,0.07929814126394052,1.9442182779312134,197.12948134999897
teammate,Adam,fake_edge_addition,0.2,42,200,16,0.5,0.01,0.0005,0.746,0.7292216172791096,0.46197378635406494,181.595473991998
teammate,AdamW,fake_edge_addition,0.2,42,200,16,0.5,0.01,0.0005,0.702,0.694180948263375,0.0860433354973793,227.00525771300454
teammate,RMSProp,fake_edge_addition,0.2,42,200,16,0.5,0.01,0.0005,0.758,0.7403004007746555,0.46890074014663696,75.27564912600064
teammate,AdaGrad,fake_edge_addition,0.2,42,200,16,0.5,0.01,0.0005,0.627,0.6300406630514976,1.5677441358566284,80.37940576500114
teammate,SGD,fake_edge_addition,0.2,42,200,16,0.5,0.01,0.0005,0.227,0.07586273252352783,1.9445635080337524,54.386412184998335
teammate,Adam,fake_edge_addition,0.3,42,200,16,0.5,0.01,0.0005,0.712,0.6987128910271394,0.5035653710365295,72.54843199500465
teammate,AdamW,fake_edge_addition,0.3,42,200,16,0.5,0.01,0.0005,0.687,0.6730709166336438,0.08396831154823303,77.08347685500485
teammate,RMSProp,fake_edge_addition,0.3,42,200,16,0.5,0.01,0.0005,0.702,0.6901023339549751,0.6168425679206848,52.053409517000546
teammate,AdaGrad,fake_edge_addition,0.3,42,200,16,0.5,0.01,0.0005,0.586,0.5920735661127974,1.609842300415039,29.806488812995667
teammate,SGD,fake_edge_addition,0.3,42,200,16,0.5,0.01,0.0005,0.152,0.06066212485931188,1.9443788528442383,19.800556818998302
