dataset,protocol,robustness_setting,optimizer,perturbation_type,requested_severity,n_seeds,mean_test_accuracy,std_test_accuracy,ci95_test_accuracy_half_width,mean_macro_f1,std_macro_f1,ci95_macro_f1_half_width,clean_to_perturbed_accuracy_drop,robustness_score_auc
Cora,fixed,training_time,AdaGrad,clean,0.0,10,0.7706,0.013125,0.008135,0.764034,0.011311,0.00701,0.0,0.7706
Cora,fixed,training_time,AdaGrad,edge_removal,0.05,10,0.7616,0.017859,0.011069,0.755533,0.017234,0.010682,0.009,0.75257
Cora,fixed,training_time,AdaGrad,edge_removal,0.1,10,0.7673,0.021818,0.013523,0.75859,0.019375,0.012009,0.0033,0.75257
Cora,fixed,training_time,AdaGrad,edge_removal,0.2,10,0.7429,0.020561,0.012744,0.734587,0.017568,0.010889,0.0277,0.75257
Cora,fixed,training_time,AdaGrad,edge_removal,0.3,10,0.7453,0.010199,0.006321,0.738234,0.007354,0.004558,0.0253,0.75257
Cora,fixed,training_time,AdaGrad,fake_edge_addition,0.05,10,0.7554,0.029117,0.018047,0.751597,0.02402,0.014888,0.0152,0.72645
Cora,fixed,training_time,AdaGrad,fake_edge_addition,0.1,10,0.7505,0.016521,0.01024,0.746137,0.012302,0.007625,0.0201,0.72645
Cora,fixed,training_time,AdaGrad,fake_edge_addition,0.2,10,0.721,0.024427,0.01514,0.715251,0.024344,0.015088,0.0496,0.72645
Cora,fixed,training_time,AdaGrad,fake_edge_addition,0.3,10,0.6868,0.033999,0.021073,0.685047,0.029877,0.018518,0.0838,0.72645
Cora,fixed,training_time,AdaGrad,feature_masking,0.05,10,0.7756,0.012563,0.007786,0.76616,0.009048,0.005608,-0.005,0.74902
Cora,fixed,training_time,AdaGrad,feature_masking,0.1,10,0.7616,0.021303,0.013204,0.754111,0.015549,0.009637,0.009,0.74902
Cora,fixed,training_time,AdaGrad,feature_masking,0.2,10,0.7423,0.017595,0.010905,0.736802,0.014144,0.008767,0.0283,0.74902
Cora,fixed,training_time,AdaGrad,feature_masking,0.3,10,0.7303,0.017166,0.01064,0.727289,0.012478,0.007734,0.0403,0.74902
Cora,fixed,training_time,Adam,clean,0.0,10,0.8111,0.005174,0.003207,0.800368,0.004352,0.002697,0.0,0.8111
Cora,fixed,training_time,Adam,edge_removal,0.05,10,0.8057,0.008957,0.005552,0.794115,0.009119,0.005652,0.0054,0.79002
Cora,fixed,training_time,Adam,edge_removal,0.1,10,0.8019,0.006951,0.004309,0.791669,0.007943,0.004923,0.0092,0.79002
Cora,fixed,training_time,Adam,edge_removal,0.2,10,0.7852,0.009601,0.005951,0.774155,0.01041,0.006452,0.0259,0.79002
Cora,fixed,training_time,Adam,edge_removal,0.3,10,0.774,0.007817,0.004845,0.762847,0.008725,0.005408,0.0371,0.79002
Cora,fixed,training_time,Adam,fake_edge_addition,0.05,10,0.7999,0.005626,0.003487,0.790187,0.006036,0.003741,0.0112,0.77347
Cora,fixed,training_time,Adam,fake_edge_addition,0.1,10,0.7878,0.007465,0.004627,0.777962,0.007752,0.004805,0.0233,0.77347
Cora,fixed,training_time,Adam,fake_edge_addition,0.2,10,0.7667,0.007258,0.004499,0.756749,0.006971,0.004321,0.0444,0.77347
Cora,fixed,training_time,Adam,fake_edge_addition,0.3,10,0.7523,0.010853,0.006727,0.740974,0.01045,0.006477,0.0588,0.77347
Cora,fixed,training_time,Adam,feature_masking,0.05,10,0.8039,0.008543,0.005295,0.793366,0.008951,0.005548,0.0072,0.79525
Cora,fixed,training_time,Adam,feature_masking,0.1,10,0.7998,0.007857,0.00487,0.790375,0.006835,0.004236,0.0113,0.79525
Cora,fixed,training_time,Adam,feature_masking,0.2,10,0.7953,0.011431,0.007085,0.783435,0.010765,0.006672,0.0158,0.79525
Cora,fixed,training_time,Adam,feature_masking,0.3,10,0.784,0.011045,0.006846,0.771482,0.011111,0.006887,0.0271,0.79525
Cora,fixed,training_time,AdamW,clean,0.0,10,0.7871,0.008319,0.005156,0.780032,0.007995,0.004956,0.0,0.7871
Cora,fixed,training_time,AdamW,edge_removal,0.05,10,0.7815,0.011443,0.007093,0.775525,0.009584,0.00594,0.0056,0.75977
Cora,fixed,training_time,AdamW,edge_removal,0.1,10,0.769,0.013573,0.008413,0.762513,0.01196,0.007413,0.0181,0.75977
