experiment_id,git_commit,timestamp,dataset,protocol,robustness_setting,optimizer,seed,resolved_seed,hyperparameter_config,perturbation_type,requested_severity,actual_perturbation_rate,actual_perturbation_count,train_accuracy,validation_accuracy,test_accuracy,macro_f1,loss,training_time_seconds,best_validation_epoch,final_epoch,hardware_metadata_path
v2_tuned_cora,d92b453,2026-07-06T04:14:41.067692+00:00,Cora,tuned,training_time,Adam,42,996566636,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.03, ""momentum"": 0.0, ""weight_decay"": 0.0005}",clean,0.0,0.0,0,1.0,0.808,0.8,0.7915299477746346,0.2645615339279175,4.719656966015464,198,200,results/v2/metadata/environment.json
v2_tuned_cora,d92b453,2026-07-06T04:14:44.799751+00:00,Cora,tuned,training_time,Adam,42,281252771,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.03, ""momentum"": 0.0, ""weight_decay"": 0.0005}",feature_masking,0.2,0.19999593628088427,9843,1.0,0.784,0.789,0.7725098118124257,0.26138967275619507,3.5736903809884097,135,200,results/v2/metadata/environment.json
v2_tuned_cora,d92b453,2026-07-06T04:14:48.196997+00:00,Cora,tuned,training_time,Adam,42,1907224710,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.03, ""momentum"": 0.0, ""weight_decay"": 0.0005}",edge_removal,0.2,0.19988632057597575,1055,1.0,0.792,0.79,0.7755098196777216,0.21596039831638336,3.2708595459989738,132,200,results/v2/metadata/environment.json
v2_tuned_cora,d92b453,2026-07-06T04:14:51.380560+00:00,Cora,tuned,training_time,Adam,42,1895434935,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.03, ""momentum"": 0.0, ""weight_decay"": 0.0005}",fake_edge_addition,0.2,0.19988632057597575,1055,1.0,0.746,0.763,0.7581569333989983,0.2512079179286957,3.056732571014436,154,200,results/v2/metadata/environment.json
v2_tuned_cora,d92b453,2026-07-06T04:14:54.225399+00:00,Cora,tuned,training_time,AdamW,42,365888775,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.003, ""momentum"": 0.0, ""weight_decay"": 0.0}",clean,0.0,0.0,0,0.9857142857142858,0.79,0.813,0.8073256507480203,0.45615702867507935,2.7515769510064274,200,200,results/v2/metadata/environment.json
v2_tuned_cora,d92b453,2026-07-06T04:14:57.679492+00:00,Cora,tuned,training_time,AdamW,42,1326758557,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.003, ""momentum"": 0.0, ""weight_decay"": 0.0}",feature_masking,0.2,0.19999593628088427,9843,0.9857142857142858,0.778,0.787,0.7770739478414408,0.5976417064666748,3.3108701820019633,171,200,results/v2/metadata/environment.json
v2_tuned_cora,d92b453,2026-07-06T04:15:01.097989+00:00,Cora,tuned,training_time,AdamW,42,711626500,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.003, ""momentum"": 0.0, ""weight_decay"": 0.0}",edge_removal,0.2,0.19988632057597575,1055,0.9928571428571429,0.762,0.76,0.7488582171502512,0.5388293862342834,3.259912429988617,191,200,results/v2/metadata/environment.json
v2_tuned_cora,d92b453,2026-07-06T04:15:04.389357+00:00,Cora,tuned,training_time,AdamW,42,247624264,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.003, ""momentum"": 0.0, ""weight_decay"": 0.0}",fake_edge_addition,0.2,0.19988632057597575,1055,0.9857142857142858,0.708,0.714,0.708247055231179,0.6640909314155579,3.1414061409886926,200,200,results/v2/metadata/environment.json
v2_tuned_cora,d92b453,2026-07-06T04:15:08.173649+00:00,Cora,tuned,training_time,RMSProp,42,322127511,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.03, ""momentum"": 0.0, ""weight_decay"": 0.0005}",clean,0.0,0.0,0,0.9928571428571429,0.788,0.795,0.7848098951268143,0.31094861030578613,3.6861317500006407,120,200,results/v2/metadata/environment.json
v2_tuned_cora,d92b453,2026-07-06T04:15:11.735145+00:00,Cora,tuned,training_time,RMSProp,42,715021593,"{""dropout"": 0.5, ""hidden_channels"": 16, ""learning_rate"": 0.03, ""momentum"": 0.0, ""weight_decay"": 0.0005}",feature_masking,0.2,0.19999593628088427,9843,0.9642857142857143,0.754,0.769,0.7531049897698081,0.46043527126312256,3.4364502140088007,94,200,results/v2/metadata/environment.json
