optimizer,learning_rate,weight_decay,momentum,seed,resolved_seed,validation_accuracy,validation_loss,best_validation_epoch,training_time_seconds,uses_test_split
Adam,0.001,0.0,0.0,42,1711156485,0.762,1.6792237758636475,185,2.6856513020175043,False
Adam,0.001,0.0,0.0,43,2032520770,0.748,1.6842256784439087,169,2.6367390159866773,False
Adam,0.001,0.0,0.0,44,2009633950,0.766,1.6729270219802856,176,2.6926726439851336,False
Adam,0.001,0.0005,0.0,42,1711156485,0.726,1.7356114387512207,199,2.618768300017109,False
Adam,0.001,0.0005,0.0,43,2032520770,0.758,1.7370636463165283,144,2.954584335006075,False
Adam,0.001,0.0005,0.0,44,2009633950,0.756,1.7385103702545166,163,2.6382373640080914,False
Adam,0.001,0.005,0.0,42,1711156485,0.52,1.9029086828231812,68,2.640021257015178,False
Adam,0.001,0.005,0.0,43,2032520770,0.62,1.9043747186660767,54,2.5983206189994235,False
Adam,0.001,0.005,0.0,44,2009633950,0.528,1.9092016220092773,47,2.630624713987345,False
Adam,0.003,0.0,0.0,42,1711156485,0.79,1.0233641862869263,183,2.629849931021454,False
Adam,0.003,0.0,0.0,43,2032520770,0.772,1.0162322521209717,136,2.659992613014765,False
Adam,0.003,0.0,0.0,44,2009633950,0.78,1.0341267585754395,140,3.3277394309989177,False
Adam,0.003,0.0005,0.0,42,1711156485,0.768,1.233201265335083,177,2.6184448419953696,False
Adam,0.003,0.0005,0.0,43,2032520770,0.786,1.2039787769317627,146,2.6201520010072272,False
Adam,0.003,0.0005,0.0,44,2009633950,0.782,1.2503833770751953,133,2.6403622820216697,False
Adam,0.003,0.005,0.0,42,1711156485,0.51,1.7761409282684326,33,2.669282185990596,False
Adam,0.003,0.005,0.0,43,2032520770,0.608,1.7812104225158691,53,2.636560493003344,False
Adam,0.003,0.005,0.0,44,2009633950,0.514,1.809495449066162,22,4.583261738996953,False
Adam,0.01,0.0,0.0,42,1711156485,0.78,0.7317853569984436,81,2.5924989570048638,False
Adam,0.01,0.0,0.0,43,2032520770,0.758,0.779163122177124,75,2.610188321006717,False
Adam,0.01,0.0,0.0,44,2009633950,0.788,0.7553716897964478,127,2.594155378988944,False
Adam,0.01,0.0005,0.0,42,1711156485,0.78,0.8348065614700317,142,2.6075583109923173,False
Adam,0.01,0.0005,0.0,43,2032520770,0.79,0.8075347542762756,127,2.658197824988747,False
Adam,0.01,0.0005,0.0,44,2009633950,0.79,0.8440634608268738,185,2.6418732440215535,False
Adam,0.01,0.005,0.0,42,1711156485,0.612,1.6089121103286743,180,3.371925185987493,False
Adam,0.01,0.005,0.0,43,2032520770,0.672,1.5926060676574707,165,2.8946279819938354,False
Adam,0.01,0.005,0.0,44,2009633950,0.574,1.6392520666122437,156,2.6445510900230147,False
Adam,0.03,0.0,0.0,42,1711156485,0.78,0.8762789368629456,84,2.6756903509958647,False
Adam,0.03,0.0,0.0,43,2032520770,0.754,1.0222821235656738,54,2.5968696500058286,False
Adam,0.03,0.0,0.0,44,2009633950,0.758,0.9528006911277771,45,2.5739283410075586,False
Adam,0.03,0.0005,0.0,42,1711156485,0.786,0.7412775158882141,100,2.638464264018694,False
Adam,0.03,0.0005,0.0,43,2032520770,0.794,0.7249642610549927,114,2.6524290989909787,False
Adam,0.03,0.0005,0.0,44,2009633950,0.796,0.7276663184165955,132,2.6543779839994386,False
Adam,0.03,0.005,0.0,42,1711156485,0.604,1.5873949527740479,125,2.6162247530010063,False
Adam,0.03,0.005,0.0,43,2032520770,0.616,1.5894906520843506,196,2.6180846389906947,False
Adam,0.03,0.005,0.0,44,2009633950,0.616,1.5674793720245361,171,2.6229230139870197,False
AdamW,0.001,0.0,0.0,42,939244910,0.784,1.6819372177124023,194,2.66002277698135,False
AdamW,0.001,0.0,0.0,43,374737321,0.768,1.6787620782852173,75,2.8445299020095263,False
AdamW,0.001,0.0,0.0,44,642800218,0.764,1.6987775564193726,184,3.2468147089821286,False
AdamW,0.001,0.0005,0.0,42,939244910,0.784,1.681958794593811,194,2.6181980170076713,False
AdamW,0.001,0.0005,0.0,43,374737321,0.768,1.6787807941436768,75,2.6657573810080066,False
AdamW,0.001,0.0005,0.0,44,642800218,0.764,1.6988030672073364,184,2.6807989569788333,False
AdamW,0.001,0.005,0.0,42,939244910,0.784,1.6822717189788818,196,2.6889680080057587,False
AdamW,0.001,0.005,0.0,43,374737321,0.768,1.6790660619735718,75,2.6299666150007397,False
AdamW,0.001,0.005,0.0,44,642800218,0.764,1.6991074085235596,183,2.671183350990759,False
AdamW,0.003,0.0,0.0,42,939244910,0.782,1.0118621587753296,77,2.772592072986299,False
AdamW,0.003,0.0,0.0,43,374737321,0.774,1.023633599281311,145,2.8158499659912195,False
AdamW,0.003,0.0,0.0,44,642800218,0.79,1.0188132524490356,170,3.167512425017776,False
AdamW,0.003,0.0005,0.0,42,939244910,0.782,1.012093186378479,77,2.7816902360063978,False
AdamW,0.003,0.0005,0.0,43,374737321,0.774,1.023866891860962,145,5.301550934993429,False
AdamW,0.003,0.0005,0.0,44,642800218,0.79,1.0190354585647583,170,3.6376257610099856,False
AdamW,0.003,0.005,0.0,42,939244910,0.782,1.0132274627685547,77,2.904069290991174,False
AdamW,0.003,0.005,0.0,43,374737321,0.774,1.024971604347229,145,2.8683156670012977,False
AdamW,0.003,0.005,0.0,44,642800218,0.79,1.0201479196548462,170,2.863228047004668,False
AdamW,0.01,0.0,0.0,42,939244910,0.77,0.766910970211029,48,2.832110390008893,False
AdamW,0.01,0.0,0.0,43,374737321,0.778,0.7378793954849243,94,2.8440786430146545,False
AdamW,0.01,0.0,0.0,44,642800218,0.772,0.7578122615814209,95,2.850175511004636,False
AdamW,0.01,0.0005,0.0,42,939244910,0.768,0.7670658826828003,48,2.9861549790075514,False
AdamW,0.01,0.0005,0.0,43,374737321,0.778,0.7378965616226196,94,3.4398334060097113,False
